ticker,company_name,exchange_if_available,step26_screening_status,step29_screening_status,step29_review_status,step29_market_recovery_status,watchlist_status,shortlist_eligible,shortlist_exclusion_reason,step29_manual_review_required,manual_bctc_required,market_data_available_after_step28,recent_price_available_after_step28,liquidity_data_available_after_step28,step28_fetch_status,step28_fetch_error_type,step28_last_price_date,step28_last_close,step28_last_volume,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,recent_trading_value,remaining_missing_fields,remaining_block_reasons,finance_quality_status,finance_source_confidence,market_source_confidence,crosscheck_status,verification_status,data_quality_status,confidence_status
A32,Công ty Cổ phần 32,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,30.0,500.0,2026-06-12,30.0,5405.0,1904.6,500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,7.26,2401200.0,2026-06-12,7.26,708575.0,907658.3333,2401200.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AAH,Công ty Cổ phần Hợp Nhất,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,INSUFFICIENT_DATA,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,INSUFFICIENT_DATA,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,2.9,115600.0,2026-06-12,2.9,270135.0,477420.0,115600.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Finance/company evidence remains insufficient after market refresh.""]",INSUFFICIENT_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,INSUFFICIENT_DATA,LOW_CONFIDENCE_FINANCE_DATA_GAP
AAM,Công ty Cổ Phần Thủy Sản MeKong,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-11,6.8,1200.0,2026-06-11,6.8,2880.0,5148.3333,1200.0,20763.5,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AAN,Công ty Cổ phần Lương thực A An,,BLOCKED_INSUFFICIENT_MARKET_DATA,INSUFFICIENT_DATA,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,INSUFFICIENT_DATA,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,22.35,276800.0,2026-06-12,22.35,333225.0,333225.0,276800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Finance/company evidence remains insufficient after market refresh.""]",INSUFFICIENT_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,INSUFFICIENT_DATA,LOW_CONFIDENCE_FINANCE_DATA_GAP
AAS,Công ty Cổ phần Chứng khoán SmartInvest,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,8.3,241300.0,2026-06-12,8.3,490215.0,692643.3333,241300.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,2.82,14800.0,2026-06-12,2.82,15730.0,21920.0,14800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AAV,Công ty Cổ phần AAV Group,HNX,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,6.9,1039800.0,2026-06-12,6.9,489660.0,751023.3333,1039800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABB,Ngân hàng Thương mại Cổ phần An Bình,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,16.7,1060500.0,2026-06-12,16.7,1070580.0,925490.0,1060500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABC,Công ty Cổ phần Truyền thông VMG,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,10.2,1900.0,2026-06-12,10.2,12950.0,24125.0,1900.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
