ticker,exchange,company_name,period,document_type,source_type,source_name,source_url,official_domain,expected_file_type,consolidated_status,language,confidence_seed,notes
VCB,HOSE,Vietcombank,DISCOVERY,ir_page,company_ir,Vietcombank IR,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,vietcombank.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VCB,HOSE,Vietcombank,DISCOVERY,financial_statement,company_ir,Vietcombank financial information,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu/Thong-tin-tai-chinh,vietcombank.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
BID,HOSE,BIDV,DISCOVERY,ir_page,company_ir,BIDV IR,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu,bidv.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
BID,HOSE,BIDV,DISCOVERY,financial_statement,company_ir,BIDV financial information,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh,bidv.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
CTG,HOSE,VietinBank,DISCOVERY,ir_page,company_ir,VietinBank IR,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/,vietinbank.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
CTG,HOSE,VietinBank,DISCOVERY,financial_statement,company_ir,VietinBank financial statements,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,vietinbank.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
MBB,HOSE,MBBank,DISCOVERY,ir_page,company_ir,MBBank IR,https://www.mbbank.com.vn/vi/investor,mbbank.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
MBB,HOSE,MBBank,DISCOVERY,financial_statement,company_ir,MBBank financial reports,https://www.mbbank.com.vn/vi/investor/financial-reports,mbbank.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
ACB,HOSE,ACB,DISCOVERY,ir_page,company_ir,ACB investor relations,https://www.acb.com.vn/ve-acb/nha-dau-tu,acb.com.vn,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
ACB,HOSE,ACB,DISCOVERY,financial_statement,company_ir,ACB financial statements,https://www.acb.com.vn/ve-acb/nha-dau-tu/bao-cao-tai-chinh,acb.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
HPG,HOSE,Hoa Phat Group,DISCOVERY,ir_page,company_ir,Hoa Phat shareholder relations,https://www.hoaphat.com.vn/quan-he-co-dong,hoaphat.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
